Organization: Organization Name,location,website
Franklin School District SAU 18,"Franklin, NH",www.sau18.org
"Social and Environmental Entrepreneurs, Inc.","Calabasas, CA",www.saveourplanet.org
Save the Harbor Save the Bay,"Boston, MA",www.savetheharbor.org
The Seattle Foundation,"Seattle, WA",www.seattlefoundation.org
Sierra Club Foundation,"Oakland, CA",www.sierraclubfoundation.org
Smart Growth America,"Washington, DC",WWW.SMARTGROWTHAMERICA.ORG
"Sociedad Latina, Inc.","Roxbury, MA",www.sociedadlatina.org
"SouthCoast Community Foundation, Inc.","New Bedford, MA",www.southcoastcf.org
SRI International,"Menlo Park, CA",www.sri.com
Stratford Public Schools,"Stratford, CT",www.stratk12.org
Institute for Sustainable Communities,"Montpelier, VT",www.sustain.org
"The American City Coalition, Inc.","Roxbury, MA",www.tamcc.org
Taunton Public Schools,"Taunton, MA",www.tauntonschools.org
Technical Development Corporation,"Boston, MA",www.tdcorp.org
Teach Plus Incorporated,"Boston, MA",www.teachplus.org
The Flavor Continues,"Boston, MA",www.theflavorcontinues.org
"The Record Company, Inc.","Boston, MA",www.therecordco.org
"The Teacher Collaborative, Inc.","Somerville, MA",www.theteachercollaborative.org
"Theater Offensive, Inc.","Boston, MA",www.thetheateroffensive.org
Trustees of Reservations,"Boston, MA",www.thetrustees.org
The Trust for Public Land,"Boston, MA",www.tpl.org
Trustees of Tufts College,"Medford, MA",www.tufts.edu
"Union of Concerned Scientists, Inc.","Cambridge, MA",www.ucsusa.org
"College Bound Dorchester, Inc.","Dorchester, MA",www.uncornered.org
"Union Capital Boston, Inc.","Boston, MA",www.unioncapitalboston.org
United Philanthropy Forum,"Washington, DC",www.unitedphilforum.org
FII - National,"Oakland, CA",www.uptogether.org
"The Urban Farming Institute of Boston, Inc.","Mattapan, MA",www.urbanfarminginstitute.org
"Unitarian Universalist Massachusetts Action Network, Inc.","Boston, MA",www.uumassaction.org
Veronica Robles Cultural Center,"Boston, MA",www.vrocc.org
"WalkBoston, Inc.","Boston, MA",www.walkboston.org
WGBH Educational Foundation,"Boston, MA",www.wgbh.org
"Worcester Roots Project, Inc.","Worcester, MA",www.WorcesterRoots.org
Worcester Regional Research Bureau Inc.,"Worcester, MA",www.wrrb.org
Winooski School District,"Winooski, VT",www.wsdschools.org
"Zeiterion Theatre, Inc.","New Bedford, MA",www.zeiterion.org
Abundant Housing Massachusetts,"Jamaica Plain, MA",
Agawam Public Schools,"Agawam, MA",
Alliance for Tribal Clean Energy,"Charlestown, RI",
Amalgamated Charitable Foundation Inc,"Washington, DC",
Aquinnah Cultural Center,"Aquinnah, MA",
"Art for the Soul Gallery, Inc.","Springfield, MA",
Barnstable Public Schools,"Hyannis, MA",
Berkshire Black Economic Council,"Pittsfield, MA",
"Boston Globe Media Partners, LLC","Boston, MA",
"Boston Municipal Research Bureau, Inc.","Boston, MA",
Bridgewater State University,"Bridgewater, MA",
Brockton Public Schools,"Brockton, MA",
Center for the Study of Public Policy Incorporated,"Somerville, MA",
City of Chelsea,"Chelsea, MA",
City of Medford,"Medford, MA",
"Connecticut Roundtable on Climate and Jobs, Inc.","Clinton, CT",
Danbury Public Schools,"Danbury, CT",
Fall River Public Schools,"Fall River, MA",
"Friends of the Lynn Historical Society, Inc.","Lynn, MA",
Gateway Regional School District,"Huntington, MA",
"Greentown Collaborative, Inc.","Somerville, MA",
"Hack Diversity, Inc.","Boston, MA",
Hartford Public Schools,"Hartford, CT",
Lawrence Public Schools,"Lawrence, MA",
Lowell Public Schools,"Lowell, MA",
Malden Public Schools,"Malden, MA",
Manchester School District,"Manchester, NH",
"Map Education, Inc.","Plymouth, MA",
Massachusetts Housing Partnership Fund Board,"Boston, MA",
Merrimack Valley Regional Transit Authority,"Haverhill, MA",
Milford Public Schools,"Milford, MA",
Peabody School District,"Peabody, MA",
Saint Cecilia Parish,"Boston, MA",
Salem Public Schools,"Salem, MA",
Somerville Public Schools,"Somerville, MA",
"South End Community Center, Inc.","Springfield, MA",
Springfield Public Schools,"Springfield, MA",
The Harborkeepers,"East Boston, MA",
"The Lawrence and Lillian Solomon Foundation, Inc.","Wellesley, MA",
"The Lynn Music Foundation, Inc.","Lynn, MA",
"The Massachusetts LGBT Business Network, Inc.","Boston, MA",
The People's Port Authority,"Providence, RI",
University of Massachusetts,"Boston, MA",
