,Request Number,Docket Record Name,Organization Name, Grant Amount , Amount (Fund-Coding) ,Budget Area/Strategy/Portfolio,Grant Purpose,Award Date,Fund Name,Award Year,Department
,20-08846,"20-08846 - Fresh Start Wellness Center, Inc.","Fresh Start Wellness Center, Inc.","$60,000.00","$60,000.00",Special Initiatives/COVID-19 Response Fund,to provide general operating support,7/10/2020,Grants,2020,SpecialInit
,20-08800,"20-08800 - Arise, Inc.","Arise, Inc.","$60,000.00","$60,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,7/10/2020,Grants,2020,SpecialInit
,20-08815,"20-08815 - Legendary Legacies, Inc.","Legendary Legacies, Inc.","$60,000.00","$60,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,7/10/2020,Grants,2020,SpecialInit
,20-08818,20-08818 - New England United for Justice,New England United for Justice,"$60,000.00","$60,000.00",Special Initiatives/COVID-19 Response Fund,To provide core support for its New England United for Justice program,7/10/2020,Grants,2020,SpecialInit
,21-09745,"21-09745 - Teach Western Mass, Inc.","Teach Western Mass, Inc.","$60,000.00","$60,000.00",Education/Invest In Educators,"To support a talent landscape analysis focused on teacher diversity, in partnership with TNTP",10/26/2021,Grants,2021,Education
,21-09526,21-09526 - Trustees of Boston College,Trustees of Boston College,"$60,000.00","$60,000.00",Sector Effectiveness/Learning and Evaluation,To support regional collaboration to build equity-focused evaluation practices among New England practitioners,7/23/2021,Grants,2021,SectorEffect
,22-35000,"22-35000 - Arise, Inc.","Arise, Inc.","$60,000.00","$60,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,7/21/2022,Grants,2022,SpecialInit
,22-35005,"22-35005 - Community Labor United, Inc.","Community Labor United, Inc.","$60,000.00","$60,000.00",Special Initiatives/COVID-19 Response Fund,To provide core support for its New England United for Justice program,7/21/2022,Grants,2022,SpecialInit
,22-35006,"22-35006 - Fresh Start Wellness Center, Inc. dba Fresh Start 508","Fresh Start Wellness Center, Inc. dba Fresh Start 508","$60,000.00","$60,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,7/21/2022,Grants,2022,SpecialInit
,22-35007,"22-35007 - Legendary Legacies, Inc.","Legendary Legacies, Inc.","$60,000.00","$60,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,7/21/2022,Grants,2022,SpecialInit
,23-35524,"23-35524 - Council on Foundations, Inc.","Council on Foundations, Inc.","$60,000.00","$60,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,To provide general operating support.,6/30/2023,Grants,2023,SectorEffect
,22-35304,"22-35304 - Worcester Cultural Coalition, Inc.","Worcester Cultural Coalition, Inc.","$60,000.00","$60,000.00",Arts and Creativity/Organizational Development,To support a strategic plan for the Worcester Cultural Coalition and an operational and business plan for the Jean McDonough Arts Center,3/5/2024,Grants,2024,Arts
,23-35994,23-35994 - Action for Equity,Action for Equity,"$60,000.00","$60,000.00",Climate/Mobility,To support transportation organizing and advocacy,1/30/2024,Grants,2024,Climate
,20-08557,20-08557 - Institute of Contemporary Art,Institute of Contemporary Art,"$62,450.00","$62,450.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Unrestricted general operating support in response to COVID-19 impacts,4/30/2020,Grants,2020,Arts
,5816,5816 - Boston Planning and Development Agency,Boston Planning and Development Agency,"$65,000.00","$65,000.00",Climate/Clean Energy,EcoDistrict Energy Fellowship,3/2/2015,Grants,2015,Climate
,6646,6646 - City of Boston,City of Boston,"$65,000.00","$65,000.00",Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,To act on Climate Ready Boston Recommendations: Priority Flood Mitigation in East Boston and Charlestown,8/31/2016,Grants,2016,Climate
,22-34688,22-34688 - City of Boston,City of Boston,"$65,000.00","$65,000.00",Climate/Clean Energy,"to support the national search process for the Senior Advisor, Green New Deal",2/8/2022,Grants,2022,Climate
,5593,"5593 - Massachusetts Immigrant and Refugee Advocacy Coalition, Inc.","Massachusetts Immigrant and Refugee Advocacy Coalition, Inc.","$70,000.00","$70,000.00",Former Education Strategies,to support the Immigrant and Refugee Early Education and Care Workforce Research and Development Project,12/3/2014,Grants,2014,Education
,5378,"5378 - Proteus Fund, Inc.","Proteus Fund, Inc.","$70,000.00","$70,000.00",Former Sector Effectiveness Strategies,Diversity Fellowship Expansion Initiative,6/4/2014,Grants,2014,SectorEffect
,6215,"6215 - Americans for the Arts, Inc.","Americans for the Arts, Inc.","$70,000.00","$70,000.00",Arts and Creativity/Activate Public Support,To support the 2016 Americans for the Arts Annual Convention in Boston,11/30/2015,Grants,2015,Arts
,6223,6223 - Commonwealth of Massachusetts Office of the Attorney General,Commonwealth of Massachusetts Office of the Attorney General,"$70,000.00","$70,000.00",Climate/Clean Energy,To support independent electric reliability analysis and modeling to take into account the retirement of the Pilgrim Power Plant,10/20/2015,Grants,2015,Climate
,6011,6011 - First Teacher,First Teacher,"$70,000.00","$70,000.00",Former Education Strategies,To support First Teacher's capacity building as well as implementation of a full year of parent-to-parent programming to increase the school readiness of four-year-olds.,6/29/2015,Grants,2015,Education
,6587,6587 - Transportation for Massachusetts Coalition,Transportation for Massachusetts Coalition,"$70,000.00","$70,000.00",Climate/Mobility/Other,To Search for New T4MA Director,6/28/2016,Grants,2016,Climate
,6737,"6737 - Map Education, Inc.","Map Education, Inc.","$70,000.00","$70,000.00",Education/Secondary & Post-Secondary Achievement/Support new school models and programs,To support Map Academy?Äôs Commonwealth charter school application process,8/31/2016,Grants,2016,Education
,20-08662,"20-08662 - Jacob's Pillow Dance Festival, Inc.","Jacob's Pillow Dance Festival, Inc.","$70,000.00","$70,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide unrestricted general operating support in response to COVID-19 impacts,5/29/2020,Grants,2020,Arts
,20-08556,20-08556 - Emerson College,Emerson College,"$70,000.00","$70,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"Unrestricted general operating support for ArtsEmerson in response to COVID-19 impacts

Dr. Lee Pelton, President of Emerson College, is a Barr Foundation Trustee. He has recused himself from the review of this proposal, and no part of this grant funding will be used to compensate Dr. Pelton",4/30/2020,Grants,2020,Arts
,20-08807,"20-08807 - Violence in Boston, Inc.","Violence in Boston, Inc.","$70,000.00","$70,000.00",Special Initiatives/COVID-19 Response Fund,To provide general operating support,7/10/2020,Grants,2020,SpecialInit
,21-09568,"21-09568 - National Arts Strategies, Inc.","National Arts Strategies, Inc.","$70,000.00","$70,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide an amendment to grant #20-08767 for professional development coaching,7/27/2021,Grants,2021,Arts
,21-09691,"21-09691 - Map Education, Inc.","Map Education, Inc.","$70,000.00","$70,000.00",Education/New Models,To support planning for charter renewal,11/30/2021,Grants,2021,Education
,21-09512,21-09512 - Independent Sector,Independent Sector,"$70,000.00","$70,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/Targeted Support,"To support a cohort of Massachusetts Fellows at the 2021 Upswell National Conference.
Barr will have no part in the selection of Fellows.",6/30/2021,Grants,2021,SectorEffect
,23-35904,23-35904 - The Grade,The Grade,"$70,000.00","$70,000.00",Education/Building Public Will,To support The Grade?s continued independent analysis of media coverage of education news in New England,11/28/2023,Grants,2023,Education
,6093,"6093 - BRAC USA, Inc.","BRAC USA, Inc.","$70,750.00","$70,750.00",Overcome Poverty Abroad/Sustainable Agriculture,To perform a research evaluation of BRAC's Barr-funded Empowerment and Livelihood for Adolescents (ELA) program in Uganda,9/16/2015,Global Grants,2015,Global
,19-07912,"19-07912 - Huntington Theatre Company, Inc.","Huntington Theatre Company, Inc.","$71,500.00","$71,500.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,to conduct a market research study,7/1/2019,Grants,2019,Arts
,21-09477,"21-09477 - The Record Company, Inc.","The Record Company, Inc.","$73,750.00","$73,750.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in Years 4-6 of the Barr Klarman Massachusetts Arts Initiative,8/31/2021,Grants,2021,Arts
,19-08247,19-08247 - Consolidated School District of New Britain,Consolidated School District of New Britain,"$74,390.00","$74,390.00",Education/New Models,to build a community-driven portrait of a high school graduate,12/4/2019,Grants,2019,Education
,5604,"5604 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$75,000.00","$75,000.00",Climate/Mobility/Modernize the Region's Transportation System,Greater Boston Bus Rapid Transit Study Group,12/3/2014,Grants,2014,Climate
,5515,5515 - Wheelock College,Wheelock College,"$75,000.00","$75,000.00",Former Education Strategies,Expanding and Strengthening the Boston Family Engagement Partnership (BFEP),9/17/2014,Grants,2014,Education
,5050,5050 - Project Hope,Project Hope,"$75,000.00","$75,000.00",Former Education Strategies,its Child Quality Care Initiative,3/7/2014,Grants,2014,Education
,5860,"5860 - Sociedad Latina, Inc.","Sociedad Latina, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Barr-Klarman Youth Arts Mastery - Capacity Building,6/23/2015,Grants,2015,Arts
,5857,"5857 - OrigiNation, Inc.","OrigiNation, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Barr-Klarman Youth Arts Mastery - Capacity Building Initiative,6/23/2015,Grants,2015,Arts
,5854,"5854 - From the Top, Inc.","From the Top, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Barr-Klarman Youth Arts Mastery - Capacity Building,6/23/2015,Grants,2015,Arts
,5824,5824 - Independent Sector,Independent Sector,"$75,000.00","$75,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,Regional Field Meeting in Greater Boston,2/23/2015,Grants,2015,SectorEffect
,5812,"5812 - Jobs for the Future, Inc.","Jobs for the Future, Inc.","$75,000.00","$75,000.00",Sector Effectiveness/Inform Sound Decision-Making/Support the Provision and Use of Credible Information,Massachusetts Federal Funding Initiative,1/30/2015,Grants,2015,SectorEffect
,5994,"5994 - Charles River Conservancy, Inc.","Charles River Conservancy, Inc.","$75,000.00","$75,000.00",Special Initiatives/Founding Trustee-Directed/Climate,towards the completion of the Lynch Family Skatepark,5/13/2015,Grants,2015,SpecialInit
,16-01505,"16-01505 - Arts Boston, Inc.","Arts Boston, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To complete a comprehensive three-year strategic and financial plan,9/26/2017,Grants,2017,Arts
,17-06294,"17-06294 - New England Foundation for the Arts, Inc.","New England Foundation for the Arts, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To develop a two- to three-year strategic plan,5/22/2017,Grants,2017,Arts
,17-06487,"17-06487 - Alliance for Business Leadership, Inc.","Alliance for Business Leadership, Inc.","$75,000.00","$75,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To increase business leader engagement in support of action on clean energy in Massachusetts,12/5/2017,Grants,2017,Climate
,17-06660,"17-06660 - Environment America Research and Policy Center, Inc.","Environment America Research and Policy Center, Inc.","$75,000.00","$75,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To provide general operating support for Environment Massachusetts,12/19/2017,Grants,2017,Climate
,17-06546,"17-06546 - Dudley Street Neighborhood Initiative, Inc.","Dudley Street Neighborhood Initiative, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,To support strategic planning,8/18/2017,Grants,2017,OrgDev
,17-06274,17-06274 - Interaction Institute for Social Change,Interaction Institute for Social Change,"$75,000.00","$75,000.00",Organizational Development Support Fund,"To support an organizational transition, including a leadership search and a business modeling process",3/14/2017,Grants,2017,OrgDev
,17-06429,17-06429 - Sustainable Solutions Lab,Sustainable Solutions Lab,"$75,000.00","$75,000.00",Organizational Development Support Fund,To provide technical assistance for the Sustainable Solutions Lab,8/17/2017,Grants,2017,OrgDev
,17-06677,"17-06677 - United States Artists, Inc.","United States Artists, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,To undertake a brand evaluation to increase United States Artists?Äô impact in the field,12/1/2017,Grants,2017,OrgDev
,17-06639,"17-06639 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,To support an organizational capacity assessment,12/1/2017,Grants,2017,OrgDev
,16-01507,"16-01507 - New England Blacks in Philanthropy, Inc.","New England Blacks in Philanthropy, Inc.","$75,000.00","$75,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/Targeted Support,"To conduct the joint affinity group research project ""Giving Boston: Comparative Analysis of Minority and Women Philanthropic Giving""",1/4/2017,Grants,2017,SectorEffect
,17-06500,"17-06500 - Third Sector New England, Inc.","Third Sector New England, Inc.","$75,000.00","$75,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/Targeted Support,To conduct and evaluate the Emerging Consultants Training program,8/17/2017,Grants,2017,SectorEffect
,17-06633,"17-06633 - Rian Immigrant Center, Inc.","Rian Immigrant Center, Inc.","$75,000.00","$75,000.00",Special Initiatives/Healthy Democracy/Protect Civil Rights,To support legal and wellness services,9/25/2017,Grants,2017,SpecialInit
,17-06620,"17-06620 - Artists for Humanity, Inc.","Artists for Humanity, Inc.","$75,000.00","$75,000.00",Waterfront - Special Initiatives/Waterfront,"To produce a multi-site ""Our Waterfront"" collaborative painting project and exhibit",12/5/2017,Grants,2017,Waterfront
,17-06636,17-06636 - Harborfront Neighborhood Alliance,Harborfront Neighborhood Alliance,"$75,000.00","$75,000.00",Waterfront - Special Initiatives/Waterfront,"To create an alliance of waterfront residents to collectively address environmental, economic, and social issues related to living at the water's edge",12/5/2017,Grants,2017,Waterfront
,18-07156,"18-07156 - New Bedford Museum and Art Center, Inc.","New Bedford Museum and Art Center, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in the Barr Klarman Massachusetts Arts Initiative,9/19/2018,Grants,2018,Arts
,18-07159,"18-07159 - The Northampton Academy of Music, Inc.","The Northampton Academy of Music, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in the Barr Klarman Massachusetts Arts Initiative,9/19/2018,Grants,2018,Arts
,18-07168,"18-07168 - The Record Company, Inc.","The Record Company, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support participation in the Barr Klarman Massachusetts Arts Initiative,9/19/2018,Grants,2018,Arts
,18-07048,18-07048 - Learning Heroes,Learning Heroes,"$75,000.00","$75,000.00",Education/Building Public Will,To support research on parent perceptions in rural communities in New England,4/5/2018,Grants,2018,Education
,18-07322,"18-07322 - Innosight Institute, Inc.","Innosight Institute, Inc.","$75,000.00","$75,000.00",Education/New Models,To develop a robust data system on innovative schools,8/28/2018,Grants,2018,Education
,18-06987,18-06987 - Massachusetts Department of Elementary and Secondary Education,Massachusetts Department of Elementary and Secondary Education,"$75,000.00","$75,000.00",Education/Invest In Educators,"to support an expert resident in 2018-2019 to support the development of Massachusetts Department of Elementary and Secondary Education's diversity and equity plans, payable over 12 months. Disclosure:  Barr?Äôs Senior Program Officer, Jenny Curtin?Äôs spouse, Rob Curtin, is associate commissioner at the Massachusetts Department of Elementary and Secondary Education?Äôs Office of Data & Accountability. His office is not connected with this project and no part of this grant will be used toward his compensation.",4/5/2018,Grants,2018,Education
,18-07364,"18-07364 - College Bound Dorchester, Inc.","College Bound Dorchester, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,To support the strategic transition to Boston Uncornered,8/16/2018,Grants,2018,OrgDev
,17-06774,"17-06774 - Enterprise Community Partners, Inc.","Enterprise Community Partners, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,to create a three-year strategy and workplan for the National Initiatives team,4/1/2018,Grants,2018,OrgDev
,18-07244,18-07244 - Community Foundation of Western Massachusetts,Community Foundation of Western Massachusetts,"$75,000.00","$75,000.00",Organizational Development Support Fund,To undertake a strategic planning and visioning process,11/21/2018,Grants,2018,OrgDev
,17-06741,17-06741 - Greater Boston Chamber of Commerce,Greater Boston Chamber of Commerce,"$75,000.00","$75,000.00",Sector Effectiveness/Invest in Leadership/Leadership Development,To support the City Awake program,6/20/2018,Grants,2018,SectorEffect
,19-07913,"19-07913 - Theater Offensive, Inc.","Theater Offensive, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,to articulate a ?ÄúQueer Trans People Of Color liberatory aesthetic?Äù and develop an implementation plan for programming,7/1/2019,Grants,2019,Arts
,19-08014,"19-08014 - Now and There, Inc.","Now and There, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Placemaking,"To support the multi-site, multimedia public artwork Augment by Nick Cave",7/26/2019,Grants,2019,Arts
,19-07827,"19-07827 - Isabella Stewart Gardner Museum, Inc.","Isabella Stewart Gardner Museum, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To conduct Phase 1 of a two-phase consultant-led DEI assessment.,4/30/2019,Grants,2019,Arts
,19-07862,"19-07862 - Celebrity Series of Boston, Inc.","Celebrity Series of Boston, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To conduct a geo-mapping analysis and brand assessment.,5/29/2019,Grants,2019,Arts
,19-08199,"19-08199 - Alliance for Business Leadership, Inc.","Alliance for Business Leadership, Inc.","$75,000.00","$75,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To increase business leader engagement in support of action on clean energy in Massachusetts,12/3/2019,Grants,2019,Climate
,19-08196,"19-08196 - Boston Foundation, Inc.","Boston Foundation, Inc.","$75,000.00","$75,000.00",Education/Building Public Will,To provide an exit grant for core support to the Boston Opportunity Agenda,12/3/2019,Grants,2019,Education
,19-07968,"19-07968 - Massachusetts Budget and Policy Center, Inc.","Massachusetts Budget and Policy Center, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,to provide organizational development support,6/20/2019,Grants,2019,OrgDev
,18-07659,"18-07659 - Beyond Walls, Inc.","Beyond Walls, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,To support revenue and development plans and complementary marketing materials,4/19/2019,Grants,2019,OrgDev
,19-08032,"19-08032 - PEAK Grantmaking, Inc.","PEAK Grantmaking, Inc.","$75,000.00","$75,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,To provide core support,10/1/2019,Grants,2019,SectorEffect
,20-09052,"20-09052 - Boston Foundation, Inc.","Boston Foundation, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"to support a collaborative effort providing short-term relief grants ($25,000 over 12 months), technical assistance and convening to 15-16 organizations based in Boston",11/30/2020,Grants,2020,Arts
,20-08686,"20-08686 - Isabella Stewart Gardner Museum, Inc.","Isabella Stewart Gardner Museum, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"To provide unrestricted general operating support in response to COVID-19 impacts

Disclosure: Barbara Hostetter, Barr Foundation Co-founder and trustee is a Life Trustee and Amos Hostetter, Barr Foundation Co-founder and Trustee is her spouse; Jim Canales, Barr Foundation President and Trustee, is on ISGM?Äôs Board; Ben Gomez, Pilot House Managing Director is on ISGM?Äôs Board and a member of its Investment Committee.  The individuals referenced will not be involved with the review or approval of this grant proposal.  As a result, Roger Nozaki, as Barr?Äôs Vice President for Programs, will have the final authority to approve this grant proposal.",5/28/2020,Grants,2020,Arts
,20-08770,"20-08770 - Beyond Walls, Inc.","Beyond Walls, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Placemaking,To support general operations,10/29/2020,Grants,2020,Arts
,20-08755,"20-08755 - Philanthropy Massachusetts, Inc.","Philanthropy Massachusetts, Inc.","$75,000.00","$75,000.00","Arts and Creativity/Activate Public Support/Advocacy, Research, and Policy",To support the Massachusetts Arts Funders Network,7/28/2020,Grants,2020,Arts
,20-08668,"20-08668 - Theater Offensive, Inc.","Theater Offensive, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,Unrestricted general operating support in response to COVID-19 impacts,4/30/2020,Grants,2020,Arts
,20-08537,"20-08537 - Celebrity Series of Boston, Inc.","Celebrity Series of Boston, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,"To support Tessitura database projects, information technology infrastructure one-time investments, and fundraising feasibility for a Seaport venue",3/31/2020,Grants,2020,Arts
,20-08703,"20-08703 - The American Prospect, Inc.","The American Prospect, Inc.","$75,000.00","$75,000.00",Climate/Mobility/Modernize the Region's Transportation System,"To support an article series on mobility, federal policy, and equity",6/30/2020,Grants,2020,Climate
,19-08462,"19-08462 - Our Turn, Inc.","Our Turn, Inc.","$75,000.00","$75,000.00",Education/Building Public Will,To support Young People?Äôs Campaign for Education 2020,1/29/2020,Grants,2020,Education
,20-08724,"20-08724 - Education Reform Now, Inc.","Education Reform Now, Inc.","$75,000.00","$75,000.00",Education/Building Public Will,To support a Massachusetts public opinion polling project related to deepening policymakers?Äô and the media?Äôs understanding of education issues during COVID-19,5/29/2020,Grants,2020,Education
,20-08782,"20-08782 - Innosight Institute, Inc. dba The Clayton Christensen Institute For D","Innosight Institute, Inc. dba The Clayton Christensen Institute For D","$75,000.00","$75,000.00",Education/New Models,To build collective knowledge on how schools iterate their models in light of COVID-19,6/30/2020,Grants,2020,Education
,19-08463,"19-08463 - Boston Chinatown Neighborhood Center, Inc.","Boston Chinatown Neighborhood Center, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,To support its executive transition,1/2/2020,Grants,2020,OrgDev
,21-09200,"21-09200 - Our Turn, Inc.","Our Turn, Inc.","$75,000.00","$75,000.00",Education/Building Public Will,To support the Raise Your Hand Leadership Development Boot Camp Series,2/24/2021,Grants,2021,Education
,21-09729,"21-09729 - SouthCoast Community Foundation, Inc.","SouthCoast Community Foundation, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,To support consulting fees associated with its leadership transition,10/26/2021,Grants,2021,OrgDev
,21-09751,"21-09751 - Hyde Square Task Force, Inc.","Hyde Square Task Force, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,To support the development of a strategic plan,11/30/2021,Grants,2021,OrgDev
,21-09378,21-09378 - The GK Fund,The GK Fund,"$75,000.00","$75,000.00",Special Initiatives/Racial Equity,"To provide core support for its GK Fund program, which supports BIPOC-owned small businesses in Massachusetts",4/13/2021,Grants,2021,SpecialInit
,22-34896,22-34896 - Rennie Center for Education Research _ Policy,Rennie Center for Education Research _ Policy,"$75,000.00","$75,000.00",Education/Building Public Will,To support the implementation phase to update Rennie Center?s Data Dashboard,6/27/2022,Grants,2022,Education
,22-34851,22-34851 - Massachusetts Department of Elementary and Secondary Education,Massachusetts Department of Elementary and Secondary Education,"$75,000.00","$75,000.00",Education/Invest In Educators,"To support continued implementation of the revised Guidelines for the Preparation of Administrative Leaders, in conjunction with implementation of the updated model rubric for school leaders",6/27/2022,Grants,2022,Education
,22-34918,"22-34918 - Our Turn, Inc.","Our Turn, Inc.","$75,000.00","$75,000.00",Education/Building Public Will,To support youth organizing capacity-building,6/27/2022,Grants,2022,Education
,22-35135,22-35135 - The Teachers' Lounge Incorporated,The Teachers' Lounge Incorporated,"$75,000.00","$75,000.00",Education/Invest In Educators,To support planning for the Elevating Educators Coalition,11/1/2022,Grants,2022,Education
,22-34955,"22-34955 - The Teacher Collaborative, Inc.","The Teacher Collaborative, Inc.","$75,000.00","$75,000.00",Organizational Development Support Fund,To support executive coaching and organizational sustainability planning,6/27/2022,Grants,2022,OrgDev
,21-09899,"21-09899 - Greater Boston Chamber of Commerce Foundation, Inc.","Greater Boston Chamber of Commerce Foundation, Inc.","$75,000.00","$75,000.00",Sector Effectiveness/Invest in Leadership/Leadership Development,To support the Greater Boston Chamber of Commerce?s City Awake program,2/1/2022,Grants,2022,SectorEffect
,22-34678,22-34678 - Massachusetts Voter Table,Massachusetts Voter Table,"$75,000.00","$75,000.00",Sector Effectiveness/Inform Sound Decision-Making,To provide core support for Massachusetts Voter Table,3/29/2022,Grants,2022,SectorEffect
,22-34798,22-34798 - Michigan Public Health Institute,Michigan Public Health Institute,"$75,000.00","$75,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/Targeted Support,To support the Center for Culturally Responsive Engagement to conduct research on power sharing and related concepts in philanthropy,5/31/2022,Grants,2022,SectorEffect
,22-34812,"22-34812 - Center for Effective Philanthropy, Inc.","Center for Effective Philanthropy, Inc.","$75,000.00","$75,000.00",Sector Effectiveness/Learning and Evaluation,"To support research on the effects of large, unrestricted gifts to nonprofits",6/27/2022,Grants,2022,SectorEffect
,22-35148,"22-35148 - PEAK Grantmaking, Inc.","PEAK Grantmaking, Inc.","$75,000.00","$75,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,To provide general operating support,11/29/2022,Grants,2022,SectorEffect
,22-35184,"22-35184 - Philanthropy Massachusetts, Inc.","Philanthropy Massachusetts, Inc.","$75,000.00","$75,000.00",Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/Targeted Support,To support its Program Staff Learning Network,11/29/2022,Grants,2022,SectorEffect
,23-35572,"23-35572 - Philanthropy Massachusetts, Inc.","Philanthropy Massachusetts, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support the Massachusetts Arts Funders Network,7/21/2023,Grants,2023,Arts
,23-35783,"23-35783 - Asian American Resource Workshop, Inc.","Asian American Resource Workshop, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide core support for its Boston Asian American Film Festival as part of the Creative Vitality program,10/31/2023,Grants,2023,Arts
,23-35786,23-35786 - CHUANG Stage,CHUANG Stage,"$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide general operating support as part of the Creative Vitality program,10/31/2023,Grants,2023,Arts
,23-35789,23-35789 - El Salon,El Salon,"$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide core support for El Salon as part of the Creative Vitality program,10/31/2023,Grants,2023,Arts
,23-35797,"23-35797 - The Lynn Music Foundation, Inc.","The Lynn Music Foundation, Inc.","$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide general operating support as part of the Creative Vitality program,10/31/2023,Grants,2023,Arts
,23-35802,23-35802 - Roxbury International Film Festival,Roxbury International Film Festival,"$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide core support for Roxbury International Film Festival as part of the Creative Vitality program,10/31/2023,Grants,2023,Arts
,23-35803,23-35803 - 50 Arrow Gallery,50 Arrow Gallery,"$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide core support for 50 Arrow Gallery as part of the Creative Vitality program,10/31/2023,Grants,2023,Arts
,23-35820,23-35820 - Lowell Chamber Orchestra,Lowell Chamber Orchestra,"$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide core support for Lowell Chamber Orchestra as part of the Creative Vitality program,10/31/2023,Grants,2023,Arts
,23-35974,23-35974 - CineFest Latino Boston,CineFest Latino Boston,"$75,000.00","$75,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To provide core support for CineFest Latino Boston as part of the Creative Vitality program,11/28/2023,Grants,2023,Arts
,23-35380,"23-35380 - National Association of City Transportation Officials, Inc.","National Association of City Transportation Officials, Inc.","$75,000.00","$75,000.00",Climate/Mobility/Modernize the Region's Transportation System,To support a delegation of municipal leaders from Massachusetts attending the Designing Cities Conference,2/28/2023,Grants,2023,Climate
